ds,y,yhat,yhat_lower,yhat_upper,anomaly
2021-08-02,96.97089285714286,138.63391796209098,118.30226191554844,157.21618412554233,True
2021-08-03,100.26968749999999,139.15569629261478,119.27664679722875,157.60926186414926,True
2021-08-04,106.24781250000001,139.74506700129336,120.32153958871952,159.03110043469653,True
2021-08-05,110.64635416666665,140.64334942201975,121.19943390104004,158.94803543019424,True
2021-08-06,117.91822916666666,141.71567729261625,120.85706061829478,161.93849543745705,True
2021-08-07,125.7653125,142.28046090149405,122.08829821373799,161.43255811883,False
2021-08-08,131.46197916666668,142.42775713609674,121.85520601501239,161.34228397287578,False
2021-08-09,134.39072916666666,142.8935017864154,124.67529974430896,161.72752189882056,False
2021-08-10,136.02406249999999,143.43494246770368,125.02453434156537,163.60130384072227,False
2021-08-11,140.09443298969072,144.03297522715576,122.83560299522998,162.33098156167455,False
2021-08-12,147.70177083333334,144.91934692491765,126.86199692865421,164.1811120225329,False
2021-08-13,157.32677083333334,145.9498011819408,126.78158609293186,166.03711264318386,False
2021-08-14,162.21156249999999,146.43383881507083,126.53574189360802,167.04962982223222,False
2021-08-15,162.57822916666666,146.4533803685415,125.32678949804522,165.26267495276923,False
2021-08-16,162.84489583333334,146.73727720386756,126.6085037225328,165.78473464599517,False
2021-08-17,164.8257894736842,147.03700182247604,128.05122459965813,165.97473359302305,False
2021-08-18,169.11764705882354,147.3292131977111,124.97163280613867,166.0897741201111,True
2021-08-19,171.79770833333336,147.8431525137138,129.95663279746557,167.2458762240481,True
2021-08-20,177.30718750000003,148.43394118709503,128.14523398992466,167.8529916189255,True
2021-08-21,176.83666666666667,148.41244711619242,129.01307279252777,167.6736810960831,True
2021-08-22,172.83291666666665,147.86400287510915,128.76446870679652,166.84071425311328,True
2021-08-23,175.781875,147.5229196243308,127.6179178339465,166.1873499757781,True
2021-08-24,154.57260416666665,147.14812601257216,127.07851078705772,167.55449649208336,False
2021-08-25,141.0009375,146.7256277950972,126.90293520960915,165.52495911701195,False
2021-08-26,134.68645833333332,146.49574488731514,127.17251858763724,166.93488549292593,False
2021-08-27,129.60822916666666,146.32620041372274,126.96357306718205,164.21406472420213,False
2021-08-28,125.26020833333332,145.54173169929814,126.56344052093871,164.5049344221979,True
2021-08-29,121.81552083333332,144.2425121631643,123.99411063817666,164.3680921660843,True
2021-08-30,121.47260416666667,143.17833425823727,124.12467058415406,164.1092063097718,True
2021-08-31,126.88197916666667,142.1238900925617,120.71378488853844,161.96241019861282,False
2021-09-01,133.87927083333332,141.08085364060955,121.84923277655778,159.99089571427606,False
2021-09-02,115.06020833333334,140.30473007836176,120.06483928123878,160.97329827546014,True
2021-09-03,107.34625,139.67755604120612,120.28023928463645,158.79252765411493,True
2021-09-04,122.304375,138.53713019320952,118.23189223691824,157.07948072391682,False
2021-09-05,126.76770833333335,136.99507248250157,117.66702714597177,156.9330438769137,False
2021-09-06,131.77760416666666,135.8106713834496,115.4252775505118,156.35599309449717,False
2021-09-07,138.15354166666665,134.76586443286442,114.73046201510124,153.67281250130569,False
2021-09-08,142.07614583333333,133.86706393627432,115.51955906629759,154.19476850960376,False
2021-09-09,147.5975,133.37180043875088,114.52007559772495,152.5614825274048,False
2021-09-10,144.271875,133.16127372975913,113.69875178348718,153.20451573763177,False
2021-09-11,125.33302083333332,132.56949549231348,113.52700430963989,151.0589893668545,False
2021-09-12,113.36479166666668,131.701325314916,111.79666030639436,148.73600671275312,False
2021-09-13,113.50177083333334,131.3063612356776,110.92385411684916,150.42115152335296,False
2021-09-14,117.31635416666667,131.15403045774593,112.46472274161925,149.7470481286614,False
2021-09-15,126.39239583333334,131.23559088149887,113.16086902404646,149.5681365930517,False
2021-09-16,131.683125,131.7910132715219,113.01421870933164,151.22440240324076,False
2021-09-17,134.82760416666667,132.68182954402286,113.66726344384092,152.52705033198276,False
2021-09-18,134.74333333333334,133.22062560035056,114.02478199672376,152.10501178992237,False
2021-09-19,138.11614583333332,133.48947344155695,113.65537223363603,153.47286621677094,False
2021-09-20,138.74489583333335,134.2142556161363,114.90175644663076,154.65167089962438,False
2021-09-21,131.8434375,135.14021856686833,115.03365585195948,153.17954696531413,False
2021-09-22,134.23677083333334,136.23445569955862,116.8366569570384,156.18865398677065,False
2021-09-23,142.33989583333332,137.71327964034595,117.83523196686907,156.89060683718756,False
2021-09-24,156.50510416666665,139.4155585367073,120.6873276021265,159.35598138536704,False
2021-09-25,167.52645833333332,140.63268414453773,121.57014128843906,159.35427631612737,True
2021-09-26,173.77312500000002,141.42745596711416,121.89225430320296,162.3164132741624,True
2021-09-27,174.18875,142.50882447483775,122.69984497171771,163.05616161014748,True
2021-09-28,174.65829545454545,143.60782063129597,123.78118177158755,162.86032398998142,True
2021-09-29,165.19014772727274,144.68036410788002,125.35109860119192,164.63911317544606,True
2021-09-30,155.722,145.93490230896919,126.14789717275295,165.55952291185116,False
2021-10-01,158.748125,147.2059489847998,127.4163795983877,166.8228226786803,False
2021-10-02,153.23333333333332,147.78418550347845,127.81789316192084,168.03212464341365,False
2021-10-03,148.445625,147.7354058913335,127.70229770759823,167.13509637661718,False
2021-10-04,148.04510416666668,147.77524710016104,128.49677687571716,167.85203051083272,False
2021-10-05,148.4278125,147.645031776516,128.4705356240612,168.3836515786948,False
2021-10-06,148.83041666666665,147.31441758119365,128.3795434908552,166.28696305631948,False
2021-10-07,148.151875,147.00880842145403,125.81280530420977,167.2707400695317,False
2021-10-08,150.39291666666665,146.58260110944525,127.33766925063534,165.63661934270758,False
2021-10-09,147.99635416666666,145.3489366377736,127.67751107695274,165.0654309185324,False
2021-10-10,141.00552083333335,143.39824453908054,122.4620288831388,162.27661474412332,False
2021-10-11,137.22260416666668,141.47253021132275,123.55594663268832,160.8550829400474,False
2021-10-12,132.33458333333334,139.34074177605265,118.28678159048239,158.6765120844397,False
2021-10-13,129.68989583333334,137.00092046403344,117.71044111560212,158.23375817677882,False
2021-10-14,132.84020833333332,134.70710026178864,114.4519545431003,154.33359516186684,False
2021-10-15,129.2540625,132.34204089259057,112.84538078267119,151.34513925546648,False
2021-10-16,111.58385416666665,129.24647383253836,109.41549906925086,149.10807581253553,False
2021-10-17,110.10802083333334,125.53716005361849,105.6532100881251,146.4810919979934,False
2021-10-18,111.4303125,121.98071908925739,102.55231297140945,141.11583316125063,False
2021-10-19,110.78500000000001,118.36857498175925,98.86936491507748,137.3774432822032,False
2021-10-20,111.97239583333334,114.71873118388,94.92247833771691,135.6332525578491,False
2021-10-21,109.99739583333333,111.30234714420376,91.06019234790313,130.06169955300533,False
2021-10-22,112.37447916666667,108.0162064232867,88.99473652952301,127.39673712711239,False
2021-10-23,110.83968750000001,104.21176048215209,85.7028433668956,123.96352268587663,False
2021-10-24,99.43072916666667,100.01304986589328,80.72859355086143,119.14395329454305,False
2021-10-25,98.00083333333333,96.19046395546077,77.4311524577583,116.03918558291146,False
2021-10-26,97.26520833333332,92.53568496247219,72.11369635538382,111.1284734820143,False
2021-10-27,97.66020833333333,89.06352691941385,69.38147484508336,107.3862447873474,False
2021-10-28,102.44739583333335,86.03863968768482,66.61879345403034,106.8485068743204,False
2021-10-29,92.4346875,83.34816385615773,64.77745494887863,104.59411018633374,False
2021-10-30,83.37885416666667,80.33101549658528,61.47010244524728,100.97762471539838,False
2021-10-31,72.42822916666667,77.0960963157285,57.669495991687796,96.65232885921299,False
2021-11-01,74.19375000000001,74.3963833198548,54.00962990139852,93.15630945744176,False
2021-11-02,66.065625,72.004235923714,52.37504153028019,90.72933609136929,False
2021-11-03,63.415,69.91362301734395,50.397911387916935,89.91018714492809,False
2021-11-04,64.5034375,68.36723148628752,49.0784843900953,87.58988439794255,False
2021-11-05,65.72916666666667,67.22953341250391,47.748798538438294,85.96503026608059,False
2021-11-06,65.87322916666666,65.8164824068894,46.456562513198705,85.50577974721836,False
2021-11-07,62.47718750000001,64.21412636607684,44.98356318353541,83.97304393852197,False
2021-11-08,62.6015625,63.153082997632296,43.96657039522431,82.23840258988565,False
2021-11-09,65.015,62.38420890093211,41.458893735036476,80.1825716616146,False
2021-11-10,69.05052083333334,61.88115834128345,43.496191652118654,80.97761404070019,False
2021-11-11,69.9321875,61.8677877246876,41.61949782436816,80.87731565996812,False
2021-11-12,70.48937500000001,62.19147849323549,43.30207478258493,82.19650715567555,False
2021-11-13,69.80395833333334,62.15304543275522,42.81384405958647,81.0121411847552,False
2021-11-14,71.23977272727274,61.825515313506244,43.09904637857335,81.26501569470678,False
2021-11-15,66.57297297297296,61.9287209356667,43.33322672731007,81.98107937835739,False
